taxa,species,Lon,Lat,parmax,parmean,nitratemin,nitraterange,phosphatemin,phosphaterange,ppmin,pprange,salinityrange,dissoxrange,biogeo13tmean,biogeo15tmax,bathymetry
Cyanobacteria,Anabaena,22.24217,65.67233,46.35100174,36.276,3.762,4.3,0,0.046,0,0.005,3.118,157.541,5.82,17.86,-4
Cyanobacteria,Anabaena,22.262,65.6595,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,21.42767,65.3105,43.85200119,35.831,3.402,3.395,0,0.039,0,0.004,3.247,152.05,4.9,16.05,-7
Cyanobacteria,Anabaena,21.08333,64.82317,44.97299957,35.275,3.282,3.11,0,0.043,0,0.006,3.345,147.572,4.81,15.79,-6
Cyanobacteria,Anabaena,20.37767,63.687,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.26233,63.66917,43.10200119,36.109,0.747,2.531,0,0.175,0.001,0.017,2.144,156.93,5.54,15.71,-4
Cyanobacteria,Anabaena,20.26533,63.66967,43.10200119,36.109,0.747,2.531,0,0.175,0.001,0.017,2.144,156.93,5.54,15.71,-4
Cyanobacteria,Anabaena,20.366,63.693,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,19.91667,63.61417,46.22499847,34.649,0.406,2.579,0,0.194,0.001,0.016,1.774,157.483,5.98,16.35,-6
Cyanobacteria,Anabaena,20.399,63.698,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.4055,63.686,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.406,63.6905,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.39867,63.68967,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.2735,63.66433,47.24900055,35.451,0.658,2.555,0,0.18,0.001,0.018,2.02,156.954,5.89,16.34,-11
Cyanobacteria,Anabaena,20.27233,63.65933,47.24900055,35.451,0.658,2.555,0,0.18,0.001,0.018,2.02,156.954,5.89,16.34,-11
Cyanobacteria,Anabaena,20.26433,63.66183,47.24900055,35.451,0.658,2.555,0,0.18,0.001,0.018,2.02,156.954,5.89,16.34,-11
Cyanobacteria,Anabaena,12.05,57.4067,46.5870018,32.755,0.054,1.289,0.077,0.182,0.003,0.015,15.529,142.258,9.08,19.73,-10
Cyanobacteria,Anabaena,12.0292,57.36,46.5870018,32.755,0.054,1.289,0.077,0.182,0.003,0.015,15.529,142.258,9.08,19.73,-10
Cyanobacteria,Anabaena,11.76833,57.67833,47.29000092,33.27,0.195,2.282,0.019,0.237,0.004,0.032,16.299,137.765,9.19,19.21,-5
Cyanobacteria,Anabaena,11.80833,57.535,46.74000168,32.631,0.155,2.013,0.039,0.213,0.003,0.028,15.741,138.838,9.89,19.37,-12
Cyanobacteria,Anabaena,21.69033,65.396,44.80400085,36.358,3.509,3.615,0,0.038,0,0.005,3.199,153.789,5.39,16.79,-9
Cyanobacteria,Anabaena,21.61583,65.31283,45.77399826,36.278,3.423,3.48,0,0.038,0,0.004,3.255,152.719,5.28,17.67,-8
Cyanobacteria,Anabaena,21.61017,65.31517,45.77399826,36.278,3.423,3.48,0,0.038,0,0.004,3.255,152.719,5.28,17.67,-8
Cyanobacteria,Anabaena,21.564,65.3825,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.57767,65.37167,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.11767,64.7845,44.97299957,35.275,3.297,3.103,0,0.043,0,0.006,3.347,147.581,5.24,16.08,-7
Cyanobacteria,Anabaena,21.53467,65.337,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.53733,65.34217,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.68417,65.393,44.80400085,36.358,3.509,3.615,0,0.038,0,0.005,3.199,153.789,5.39,16.79,-9
Cyanobacteria,Anabaena,21.6405,65.3145,45.77399826,36.278,3.423,3.48,0,0.038,0,0.004,3.255,152.719,5.28,17.67,-8
Cyanobacteria,Anabaena,21.66417,65.29467,45.77399826,36.278,3.423,3.48,0,0.038,0,0.004,3.255,152.719,5.28,17.67,-8
Cyanobacteria,Anabaena,21.55083,65.3805,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.52433,65.39383,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.52133,65.32117,45.77399826,36.278,3.421,3.475,0,0.038,0,0.004,3.25,152.616,5.71,16.41,-8
Cyanobacteria,Anabaena,21.49033,65.359,44.79700089,36.774,3.484,3.534,0,0.039,0,0.005,3.228,153.35,5.6,15.44,-17
Cyanobacteria,Anabaena,21.47217,65.34817,44.79700089,36.774,3.484,3.534,0,0.039,0,0.005,3.228,153.35,5.6,15.44,-17
Cyanobacteria,Anabaena,21.49783,65.35783,44.79700089,36.774,3.484,3.534,0,0.039,0,0.005,3.228,153.35,5.6,15.44,-17
Cyanobacteria,Anabaena,21.5325,65.3565,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,20.495,63.829,47.69800186,35.863,0.928,2.668,0,0.142,0.001,0.015,2.507,156.066,5.46,16.55,-3
Cyanobacteria,Anabaena,22.4475,65.73,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,17.36984,62.46244,47.91400146,32.743,0.324,3.207,0.001,0.219,0.001,0.033,0.858,154.009,4.81,16.11,-10
Cyanobacteria,Anabaena,22.30283,65.67783,44.95100021,35.6,3.798,4.359,0,0.048,0,0.005,3.117,157.949,5.93,18.86,-9
Cyanobacteria,Anabaena,22.31433,65.6705,44.95100021,35.6,3.798,4.359,0,0.048,0,0.005,3.117,157.949,5.93,18.86,-9
Cyanobacteria,Anabaena,22.24667,65.6535,44.81600189,35.983,3.751,4.273,0,0.046,0,0.005,3.126,157.847,5.79,17.8,-5
Cyanobacteria,Anabaena,21.08133,64.82517,44.97299957,35.275,3.282,3.11,0,0.043,0,0.006,3.345,147.572,4.81,15.79,-6
Cyanobacteria,Anabaena,21.3135,65.358,41.43500137,34.873,3.483,3.528,0,0.039,0,0.005,3.229,153.272,5.68,15.75,-17
Cyanobacteria,Anabaena,22.24633,65.65067,44.81600189,35.983,3.751,4.273,0,0.046,0,0.005,3.126,157.847,5.79,17.8,-5
Cyanobacteria,Anabaena,21.03417,64.85683,44.92200089,35.032,3.37,3.029,0,0.041,0,0.006,3.343,147.328,3.95,15.19,-7
Cyanobacteria,Anabaena,22.263,65.6365,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,20.379,63.6875,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.36667,63.69233,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,19.92233,63.61383,46.22499847,34.649,0.406,2.579,0,0.194,0.001,0.016,1.774,157.483,5.98,16.35,-6
Cyanobacteria,Anabaena,20.39717,63.69383,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.40433,63.69217,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.358,63.6965,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,21.673,65.41617,44.80400085,36.358,3.509,3.615,0,0.038,0,0.005,3.199,153.789,5.39,16.79,-9
Cyanobacteria,Anabaena,21.7265,65.39967,44.80400085,36.358,3.509,3.615,0,0.038,0,0.005,3.199,153.789,5.39,16.79,-9
Cyanobacteria,Anabaena,21.68017,65.38883,44.80400085,36.358,3.509,3.615,0,0.038,0,0.005,3.199,153.789,5.39,16.79,-9
Cyanobacteria,Anabaena,21.6505,65.30133,45.77399826,36.278,3.423,3.48,0,0.038,0,0.004,3.255,152.719,5.28,17.67,-8
Cyanobacteria,Anabaena,21.6695,65.29383,45.77399826,36.278,3.426,3.489,0,0.038,0,0.004,3.256,152.954,4.97,16.35,-6
Cyanobacteria,Anabaena,21.54033,65.38767,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.55717,65.38467,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.52133,65.3295,45.77399826,36.278,3.421,3.475,0,0.038,0,0.004,3.25,152.616,5.71,16.41,-8
Cyanobacteria,Anabaena,21.54483,65.34433,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.49583,65.3555,44.79700089,36.774,3.484,3.534,0,0.039,0,0.005,3.228,153.35,5.6,15.44,-17
Cyanobacteria,Anabaena,21.48383,65.355,44.79700089,36.774,3.484,3.534,0,0.039,0,0.005,3.228,153.35,5.6,15.44,-17
Cyanobacteria,Anabaena,10.01396,63.40607,42.61000061,30.447,0.189,5.893,0.003,0.476,0.001,0.055,4.699,70.457,8.36,16.07,-202
Cyanobacteria,Anabaena,22.44633,65.73033,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,22.44667,65.7295,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,21.56683,65.41367,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,22.27617,65.69183,44.95100021,35.6,3.798,4.359,0,0.048,0,0.005,3.117,157.949,5.93,18.86,-9
Cyanobacteria,Anabaena,21.69883,65.39833,44.80400085,36.358,3.509,3.615,0,0.038,0,0.005,3.199,153.789,5.39,16.79,-9
Cyanobacteria,Anabaena,21.647,65.324,45.77399826,36.278,3.423,3.48,0,0.038,0,0.004,3.255,152.719,5.28,17.67,-8
Cyanobacteria,Anabaena,21.533,65.38967,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.5045,65.32583,45.77399826,36.278,3.421,3.475,0,0.038,0,0.004,3.25,152.616,5.71,16.41,-8
Cyanobacteria,Anabaena,21.48133,65.35067,44.79700089,36.774,3.484,3.534,0,0.039,0,0.005,3.228,153.35,5.6,15.44,-17
Cyanobacteria,Anabaena,21.06417,64.835,44.92200089,35.032,3.37,3.029,0,0.041,0,0.006,3.343,147.328,3.95,15.19,-7
Cyanobacteria,Anabaena,22.80517,65.80483,47.03900146,36.84,4.063,4.518,0,0.056,0,0.007,3.143,154.796,6.08,17.91,-8
Cyanobacteria,Anabaena,23.9195,65.744,46.73400116,35.991,4.481,4.828,0,0.061,0,0.008,3.397,152.482,5.6,17.23,-6
Cyanobacteria,Anabaena,18.34277,59.21287,48.38399887,33.482,0.007,0.527,0.081,0.351,0,0.007,1.103,166.197,6.85,16.05,-7
Cyanobacteria,Anabaena,19.09438,59.74777,48.08100128,33.787,0.001,0.391,0.036,0.301,0,0.004,1.03,161.216,7.43,17.68,-16
Cyanobacteria,Anabaena,18.47713,60.2155,45.58300018,33.469,0.002,0.582,0.001,0.228,0,0.005,0.563,159.563,6.53,16.88,-3
Cyanobacteria,Anabaena,18.27478,60.35582,47.35900116,32.854,0.003,0.855,0,0.206,0,0.005,0.542,160.85,7.3,17.39,-8
Cyanobacteria,Anabaena,19.818,63.49933,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,22.37517,65.80767,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.44617,65.72983,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,19.4985,63.53717,46.86600113,34.241,0.069,2.461,0,0.205,0.001,0.01,1.567,158.334,5.87,16.47,-6
Cyanobacteria,Anabaena,20.27433,63.6605,47.24900055,35.451,0.658,2.555,0,0.18,0.001,0.018,2.02,156.954,5.89,16.34,-11
Cyanobacteria,Anabaena,23.67133,65.77933,47.76200104,36.324,4.36,4.685,0,0.059,0,0.007,3.31,152.077,5.59,17.55,-4
Cyanobacteria,Anabaena,21.18817,64.69167,50.72399902,35.631,3.28,3.161,0,0.043,0,0.006,3.34,148.027,4.97,16.72,-11
Cyanobacteria,Anabaena,17.68742,59.11788,46.70299911,32.705,0.026,0.604,0.097,0.358,0.001,0.014,1.251,161.663,6.58,17.69,-3
Cyanobacteria,Anabaena,22.673,65.8885,46.00600052,35.788,3.98,4.475,0,0.054,0,0.006,3.152,155.738,7.15,17.41,-8
Cyanobacteria,Anabaena,22.37483,65.80767,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,20.4205,63.73817,47.48699951,35.042,0.999,2.564,0,0.162,0.001,0.018,2.371,156.449,5.76,16.05,-8
Cyanobacteria,Anabaena,21.27583,64.617,46.10599899,35.604,3.17,3.216,0,0.044,0,0.006,3.33,147.823,5.12,16.04,-7
Cyanobacteria,Anabaena,21.25267,64.30633,47.36800003,37.148,1.966,3.52,0,0.054,0,0.005,3.285,147.925,5.36,15.59,-9
Cyanobacteria,Anabaena,21.0875,64.20767,47.21300125,36.826,1.718,3.46,0,0.055,0,0.005,3.217,148.589,4.98,15.97,-8
Cyanobacteria,Anabaena,19.82,63.49933,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,22.37517,65.8075,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.447,65.73,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,11.1033,58.8683,47.4659996,32.869,0.106,2.272,0.001,0.254,0.002,0.034,12.555,126.521,9.34,18.65,-50
Cyanobacteria,Anabaena,22.44683,65.72983,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,17.66477,62.43612,48.36100006,33.964,0.353,3.219,0.001,0.22,0.001,0.035,0.872,154.113,6.33,17.02,-9
Cyanobacteria,Anabaena,22.44733,65.73033,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,21.99667,65.48667,45.86500168,36.599,3.643,3.86,0,0.039,0,0.006,3.159,155.212,4.94,17.55,-11
Cyanobacteria,Anabaena,22.44067,65.48417,47.5909996,36.743,3.693,4.097,0,0.041,0,0.005,3.15,152.503,5.73,16.99,-16
Cyanobacteria,Anabaena,22.16833,65.5665,47.31299973,37.004,3.74,4.063,0,0.042,0,0.007,3.135,155.67,5.87,18.37,-8
Cyanobacteria,Anabaena,18.2635,62.864,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,19.8195,63.49967,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,22.44717,65.73033,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,17.6407,62.44053,48.36100006,33.964,0.353,3.219,0.001,0.22,0.001,0.035,0.872,154.113,6.33,17.02,-9
Cyanobacteria,Anabaena,20.44517,63.7335,47.48699951,35.042,0.999,2.564,0,0.162,0.001,0.018,2.371,156.449,5.76,16.05,-8
Cyanobacteria,Anabaena,19.81833,63.4995,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,22.37583,65.808,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.44633,65.72967,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,22.375,65.80683,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,18.26233,62.8635,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,22.37583,65.80683,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,18.26433,62.8635,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,22.44817,65.73,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,19.81917,63.5005,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,22.37483,65.80717,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.57233,65.63683,46.45299911,36.825,3.803,4.404,0,0.049,0,0.003,3.131,155.051,5.42,16.83,-7
Cyanobacteria,Anabaena,19.80667,63.52483,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,23.674,65.76317,47.76200104,36.324,4.36,4.685,0,0.059,0,0.007,3.31,152.077,5.59,17.55,-4
Cyanobacteria,Anabaena,23.94233,65.75133,46.04299927,36.277,4.606,5.011,0.001,0.064,0,0.011,3.384,152.824,5.86,16.8,-4
Cyanobacteria,Anabaena,23.69833,65.83,47.76200104,36.324,4.36,4.685,0,0.059,0,0.007,3.31,152.077,5.59,17.55,-4
Cyanobacteria,Anabaena,22.704,65.86133,46.00600052,35.788,3.98,4.475,0,0.054,0,0.006,3.152,155.738,7.15,17.41,-8
Cyanobacteria,Anabaena,22.64,65.89667,45.32500076,36.899,3.96,4.468,0,0.053,0,0.006,3.138,156.002,6.02,14.23,-2
Cyanobacteria,Anabaena,22.413,65.77167,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.43867,65.856,45.32500076,36.899,3.901,4.443,0,0.051,0,0.005,3.133,156.53,7.22,19.03,-2
Cyanobacteria,Anabaena,21.93417,65.4375,45.86500168,36.599,3.643,3.86,0,0.039,0,0.006,3.159,155.212,4.94,17.55,-11
Cyanobacteria,Anabaena,21.95,65.40833,44.81700134,35.468,3.564,3.734,0,0.038,0,0.005,3.185,154.085,5.29,16.64,-7
Cyanobacteria,Anabaena,21.71983,65.32817,45.77399826,36.278,3.426,3.489,0,0.038,0,0.004,3.256,152.954,4.97,16.35,-6
Cyanobacteria,Anabaena,21.80033,65.28567,44.82300186,35.686,3.426,3.496,0,0.038,0,0.004,3.251,153.37,5.22,16.3,-8
Cyanobacteria,Anabaena,21.48333,64.454,46.73600006,36.268,2.587,3.42,0,0.05,0,0.005,3.313,147.488,4.99,15.22,-10
Cyanobacteria,Anabaena,21.57567,64.47167,46.73600006,36.268,2.578,3.406,0,0.05,0,0.005,3.307,147.342,5.1,15.52,-6
Cyanobacteria,Anabaena,19.81983,63.4995,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,22.44633,65.73083,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,22.5745,65.63617,46.45299911,36.825,3.803,4.404,0,0.049,0,0.003,3.131,155.051,5.42,16.83,-7
Cyanobacteria,Anabaena,22.37517,65.80733,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.37533,65.807,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.44633,65.73,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,22.37483,65.80733,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.447,65.72967,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,22.57383,65.63583,46.45299911,36.825,3.803,4.404,0,0.049,0,0.003,3.131,155.051,5.42,16.83,-7
Cyanobacteria,Anabaena,19.808,63.5255,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,19.8205,63.50017,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,19.80667,63.525,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,19.80883,63.52317,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,12.05,55.169998,46.42599869,31.917,0.005,0.169,0.279,0.228,0.001,0.004,5.617,157.709,9.53,19.65,-1
Cyanobacteria,Anabaena,12.57,55.549999,46.10499954,32.773,0.014,0.208,0.294,0.22,0.003,0.004,2.343,158.139,9.6,18.53,-5
Cyanobacteria,Anabaena,11,55,47.33800125,35.817,0.001,0.288,0.212,0.248,0.001,0.005,13.005,153.05,9.74,18.32,-9
Cyanobacteria,Anabaena,11.98,55.900002,46.68199921,32.148,0.013,0.513,0.128,0.209,0.002,0.006,14.914,146.104,9.87,19.59,-5
Cyanobacteria,Anabaena,11.88333,58.33333,46.09400177,32.943,0.085,2.336,0.011,0.255,0.004,0.021,13.904,135.679,8.35,17.67,-2
Cyanobacteria,Anabaena,11.5625,58.06667,47.16699982,32.953,0.083,2.393,0.013,0.254,0.004,0.02,15.134,136.967,9.4,19.94,-2
Cyanobacteria,Anabaena,10.9,59.0083,47.11299896,32.619,0.305,3.136,0.002,0.251,0.002,0.058,12.573,124.096,9.71,18.89,-59
Cyanobacteria,Anabaena,10.62,56.52,43.64500046,30.698,0.008,0.642,0.126,0.228,0.002,0.008,20.087,130.67,9.81,18.02,-6
Cyanobacteria,Anabaena,11.9,55.919998,46.09600067,31.869,0.014,0.495,0.129,0.212,0.002,0.006,15.111,146.105,10.02,19.39,-4
Cyanobacteria,Anabaena,12.45,55.619999,43.90000153,33.268,0.013,0.199,0.294,0.221,0.002,0.004,2.397,157.68,9.28,18.46,-4
Cyanobacteria,Anabaena,12.3,54.98,47.15800095,32.618,0.002,0.178,0.292,0.23,0.001,0.006,4.782,155.589,9.28,18.56,-4
Cyanobacteria,Anabaena,12.21638,57.12211,45.58800125,32.855,0.022,0.798,0.096,0.169,0.003,0.007,14.323,144.329,9.74,19.48,-6
Cyanobacteria,Anabaena,12.95671,55.77092,47.20899963,33.196,0.019,0.273,0.265,0.213,0.002,0.005,3.373,154.365,9.28,17.7,-2
Cyanobacteria,Anabaena,12.91087,55.75554,47.98899841,33.5,0.019,0.274,0.265,0.213,0.003,0.005,4.716,154.483,9.53,18.43,-10
Cyanobacteria,Anabaena,18,59,48.08100128,34.233,0.033,0.606,0.097,0.359,0.002,0.017,1.15,161.243,7.7,17.97,-9
Cyanobacteria,Anabaena,11.61518,57.89177,48.93799973,33.736,0.251,2.615,0.007,0.257,0.004,0.035,15.634,137.277,9.53,19.84,-6
Cyanobacteria,Anabaena,10.62,55.599998,46.05899811,35.011,0.018,0.435,0.166,0.262,0.002,0.008,16.435,140.897,9.75,18.16,-11
Cyanobacteria,Anabaena,11.582563,57.886362,46.9469986,33.664,0.179,2.448,0.012,0.256,0.004,0.03,15.635,136.586,9.93,19.24,-20
Cyanobacteria,Anabaena,11.7225,55.715556,46.67499924,31.198,0.007,0.409,0.147,0.255,0.001,0.005,16.732,146.456,9.02,18.03,-2
Cyanobacteria,Anabaena,11.72,55.73,46.67499924,31.198,0.007,0.409,0.147,0.255,0.001,0.005,16.732,146.456,9.02,18.03,-2
Cyanobacteria,Anabaena,11.83,55.68,46.67499924,31.198,0.01,0.396,0.166,0.246,0.002,0.005,14.719,148.561,9.42,18.86,-4
Cyanobacteria,Anabaena,13.07522,55.67086,50.62099838,33.934,0.01,0.166,0.298,0.222,0.002,0.004,1.905,153.808,9.46,18.8,-5
Cyanobacteria,Anabaena,12.99632,55.612,46.14400101,33.012,0.01,0.17,0.298,0.222,0.002,0.004,2.097,154.001,9.5,18.57,-11
Cyanobacteria,Anabaena,11.8869,58.248,45.14899826,31.628,0.094,2.362,0.015,0.253,0.004,0.021,14.411,136.641,7.99,17.22,-5
